case_id,maze_file,step,rank,selected,real_r,real_c,local_r,local_c,tile,score,deltaR,Iproxy,tailGain,qEff,pathLen,margin,projectedR,unknownCompSum,dominant_term
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,0,1,True,1,1,1,0, ,5.736266666666669,0,18.000000000000004,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,0,2,False,1,2,1,1, ,4.916266666666669,0,18.000000000000004,0.0,1.0,2,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,1,1,True,1,2,1,1, ,4.789948070175434,0,15.157894736842103,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,1,2,False,2,1,2,0, ,4.789948070175434,0,15.157894736842103,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,2,1,True,1,3,1,2, ,3.884182303030302,0,13.090909090909092,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,2,2,False,2,1,2,0, ,3.064182303030302,0,13.090909090909092,0.0,1.0,2,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,2,3,False,2,3,2,2, ,3.064182303030302,0,13.090909090909092,0.0,1.0,2,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,3,1,True,1,4,1,3, ,3.0347487857777757,0,11.52,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,3,2,False,2,3,2,2, ,3.0347487857777757,0,11.52,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,3,3,False,2,1,2,0, ,1.3947487857777752,0,11.52,0.0,1.0,3,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,4,1,True,1,5,1,4, ,2.2473577041269834,0,10.285714285714285,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,4,2,False,2,3,2,2, ,1.4273577041269832,0,10.285714285714285,0.0,1.0,2,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,4,3,False,2,1,2,0, ,-0.21264229587301564,0,10.285714285714285,0.0,1.0,4,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,5,1,True,1,6,1,5, ,1.5224238659732787,0,9.29032258064516,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,5,2,False,2,3,2,2, ,-0.11757613402672096,0,9.29032258064516,0.0,1.0,3,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,5,3,False,2,1,2,0, ,-1.7575761340267206,0,9.29032258064516,0.0,1.0,5,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,6,1,True,1,7,1,6, ,0.8575954473373724,0,8.470588235294116,0.0,1.0,1,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,6,2,False,2,3,2,2, ,-1.6024045526626267,0,8.470588235294116,0.0,1.0,4,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,6,3,False,2,1,2,0, ,-3.2424045526626273,0,8.470588235294116,0.0,1.0,6,8.0,0,12,Iproxy
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,7,1,True,1,8,1,7, ,0.2491479213690102,0,7.783783783783782,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,7,2,False,2,3,2,2, ,-3.030852078630989,0,7.783783783783782,0.0,1.0,5,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,7,3,False,2,1,2,0, ,-4.670852078630989,0,7.783783783783782,0.0,1.0,7,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,8,1,True,1,9,1,8, ,-0.307230538186932,0,7.199999999999999,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,8,2,False,2,3,2,2, ,-4.407230538186932,0,7.199999999999999,0.0,1.0,6,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,8,3,False,2,1,2,0, ,-6.047230538186931,0,7.199999999999999,0.0,1.0,8,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,9,1,True,1,10,1,9, ,-0.8159941989608157,0,6.697674418604652,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,9,2,False,2,3,2,2, ,-5.735994198960815,0,6.697674418604652,0.0,1.0,7,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,9,3,False,2,1,2,0, ,-7.375994198960815,0,6.697674418604652,0.0,1.0,9,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,10,1,True,1,11,1,10, ,-1.281491314005482,0,6.26086956521739,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,10,2,False,2,3,2,2, ,-7.021491314005481,0,6.26086956521739,0.0,1.0,8,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,10,3,False,2,1,2,0, ,-8.661491314005481,0,6.26086956521739,0.0,1.0,10,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,11,1,True,1,12,1,11, ,-1.7078311717188797,0,5.877551020408165,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,11,2,False,2,3,2,2, ,-8.267831171718878,0,5.877551020408165,0.0,1.0,9,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,11,3,False,2,1,2,0, ,-9.907831171718879,0,5.877551020408165,0.0,1.0,11,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,12,1,True,1,13,1,12, ,-2.098819737996628,0,5.538461538461538,0.0,1.0,1,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,12,2,False,2,3,2,2, ,-9.478819737996627,0,5.538461538461538,0.0,1.0,10,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,12,3,False,2,1,2,0, ,-11.118819737996628,0,5.538461538461538,0.0,1.0,12,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,13,1,True,2,3,2,2, ,-10.657936000873239,0,5.236363636363636,0.0,1.0,11,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,13,2,False,2,1,2,0, ,-12.29793600087324,0,5.236363636363636,0.0,1.0,13,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,14,1,True,2,3,2,2, ,-9.831941145196197,0,5.236363636363636,0.0,1.0,10,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,14,2,False,2,1,2,0, ,-11.471941145196197,0,5.236363636363636,0.0,1.0,12,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,15,1,True,2,3,2,2, ,-9.007145260654568,0,5.236363636363636,0.0,1.0,9,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,15,2,False,2,1,2,0, ,-10.647145260654566,0,5.236363636363636,0.0,1.0,11,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,16,1,True,2,3,2,2, ,-8.18330855302126,0,5.236363636363636,0.0,1.0,8,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,16,2,False,2,1,2,0, ,-9.82330855302126,0,5.236363636363636,0.0,1.0,10,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,17,1,True,2,3,2,2, ,-7.360239186914615,0,5.236363636363636,0.0,1.0,7,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,17,2,False,2,1,2,0, ,-9.000239186914616,0,5.236363636363636,0.0,1.0,9,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,18,1,True,2,3,2,2, ,-6.537783694029301,0,5.236363636363636,0.0,1.0,6,8.0,0,12,margin
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,18,2,False,2,1,2,0, ,-8.177783694029301,0,5.236363636363636,0.0,1.0,8,8.0,0,12,pathLen
train_0260,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0260.json,19,1,True,2,3,2,2, ,-5.715819299721049,0,5.236363636363636,0.0,1.0,5,8.0,0,12,margin
